Name,Age,Season,spScore,1Pitch,2Pitch,3Pitch,4Pitch,5Pitch,6Pitch,1PitchFreg,2PitchFreg,3PitchFreg,4PitchFreg,5PitchFreg,6PitchFreg,nPitches,K_pct,BB_pct,GB_pct,FB_pct,OSwing_pct,ZSwing_pct,OContact_pct,ZContact_pct,SwStr_pct,CStr_pct,CSW_pct,Barrel_pct,HardHit_pct,HR_to_FB_pct_plus,1StuffVal,2StuffVal,3StuffVal,4StuffVal,5StuffVal,6StuffVal,1CmdVal,2CmdVal,3CmdVal,4CmdVal,5CmdVal,6CmdVal,Throws
Richard Bleier,36,2023,0.70145994,SI_pct_sc,FC_pct_sc,SL_pct_sc,FS_pct_sc,FA_pct_sc,,0.4217,0.387,0.1022,0.0522,0.037,,3,0.1212,0.0379,0.552380952,0.266666666,0.415,0.7094,0.781,0.8819,0.0877,0.1645,0.2522,0.0741,0.3981,142.8994402,52.05681325,40.89668129,43.50298043,52.45848105,29.75021235,,65.48959026,48.08125612,31.93360915,34.04471842,80.0,,L
Karl Kauffmann,25,2023,0.70145994,SI_pct_sc,CH_pct_sc,SL_pct_sc,FC_pct_sc,FA_pct_sc,,0.351,0.2212,0.1563,0.1475,0.1239,,5,0.0957,0.0957,0.424657534,0.383561643,0.2973,0.7521,0.7727,0.9205,0.0649,0.1357,0.2006,0.0959,0.4384,55.16529029,33.32912059,32.62603427,30.51296623,34.06137122,31.91893833,,34.26361653,59.26589547,56.95543057,57.45134959,30.4264081,,R
Yennier Cano,29,2023,0.70145994,SI_pct_sc,CH_pct_sc,SL_pct_sc,FA_pct_sc,,,0.5565,0.2773,0.1367,0.0295,,,3,0.2297,0.0459,0.58,0.195,0.3609,0.6793,0.6146,0.8623,0.1189,0.1621,0.2809,0.0545,0.3762,82.0755757,69.97638053,56.43793351,52.13490597,34.71204667,,,57.18167012,63.16489879,49.72788683,57.46646958,,,R
John King,28,2023,0.70145994,SI_pct_sc,CH_pct_sc,SL_pct_sc,FA_pct_sc,,,0.5427,0.3719,0.0816,0.0038,,,3,0.1274,0.0637,0.669354838,0.169354838,0.3619,0.6792,0.7018,0.8958,0.0926,0.1664,0.259,0.0551,0.3701,74.88337753,51.83017476,49.90035031,60.32294996,40.417715,,,61.32978503,57.5296548,52.75249314,20.0,,,L
Josh Winckowski,25,2023,0.70145994,SI_pct_sc,FC_pct_sc,SL_pct_sc,CH_pct_sc,FA_pct_sc,CU_pct_sc,0.3722,0.3553,0.1619,0.0601,0.0498,0.0007,3,0.2204,0.0826,0.51004016,0.281124497,0.327,0.7188,0.6148,0.843,0.1201,0.1619,0.2821,0.064,0.408,102.8875968,59.27640402,61.74351563,44.55290158,63.01206692,45.92949559,55.58987,54.69320179,41.54358946,57.46961543,56.82063385,50.12449456,80.0,R
JoJo Romero,26,2023,0.70145994,SI_pct_sc,CH_pct_sc,SL_pct_sc,FA_pct_sc,FC_pct_sc,,0.3376,0.2795,0.2269,0.1543,0.0018,,4,0.2857,0.068,0.591397849,0.193548387,0.3119,0.664,0.5652,0.756,0.1473,0.1891,0.3364,0.0213,0.383,42.90633672,47.97295989,42.71099247,59.1271904,46.25578,80.0,,58.3496879,58.09869442,49.66133712,27.59072671,80.0,,L
Adam Ottavino,37,2023,0.6362936,SI_pct_sc,SL_pct_sc,FC_pct_sc,CH_pct_sc,FA_pct_sc,,0.377,0.2783,0.1504,0.1387,0.0557,,4,0.2375,0.1111,0.5625,0.3,0.2967,0.5966,0.6022,0.8907,0.0963,0.2072,0.3035,0.037,0.4074,112.6291348,55.59642468,62.305624,62.04111753,47.40972296,54.46904333,,46.94528577,40.16343379,32.45388909,44.60849514,48.79429759,,R
Grant Hartwig,25,2023,0.6362936,SI_pct_sc,SL_pct_sc,FC_pct_sc,CH_pct_sc,FA_pct_sc,FO_pct_sc,0.465,0.3126,0.1602,0.042,0.0171,0.0031,3,0.1899,0.0949,0.481132075,0.301886792,0.2739,0.6805,0.6789,0.9024,0.0798,0.1753,0.2551,0.0654,0.3645,72.40444394,39.84220957,52.69926303,39.35102307,55.21936407,54.06402091,54.06402091,39.74801271,44.2707604,54.30636168,20.0,51.11319727,51.11319727,R
Kevin Kelly,25,2023,0.6362936,SI_pct_sc,SL_pct_sc,FC_pct_sc,FA_pct_sc,,,0.4784,0.409,0.1013,0.0113,,,3,0.2029,0.0543,0.476923076,0.328205128,0.3027,0.6234,0.7135,0.8456,0.091,0.2073,0.2983,0.0359,0.3282,25.00740211,58.26907827,65.53965567,53.34663204,43.187465,,,57.42629776,46.07727681,41.40049676,20.0,,,R
Cooper Criswell,26,2023,0.6362936,SI_pct_sc,SL_pct_sc,FC_pct_sc,CH_pct_sc,,,0.3375,0.278,0.2509,0.1336,,,4,0.1788,0.0728,0.444444444,0.287037037,0.3077,0.6488,0.7292,0.8917,0.0776,0.1949,0.2726,0.055,0.3303,154.8845549,42.84362225,60.24409552,54.28743237,58.78798703,,,51.94336658,49.40949584,41.97273237,53.90423378,,,R
